fecha,hora,vehiculo1_tipo,vehiculo1_marca,situacion_climatica,longitud,latitud,conteo_accidentes_dia
70,34,27705,25348,1396,-100.3756382,25.67424468,70
70,24,27705,25348,1396,-100.3198471,25.67142785,70
70,31,27705,25348,1396,-100.3188992,25.67142522,70
70,38,27705,25348,1396,-100.322186,25.662697,70
70,39,27705,25348,1396,-100.3512648,25.69694523,70
70,20,27705,25348,1396,-100.352066,25.68091592,70
70,66,27705,25348,1396,-100.2871766,25.67313655,70
70,26,27705,25348,1396,-100.3526568,25.67291483,70
70,39,27705,25348,1396,-100.3795526,25.74068533,70
70,30,27705,25348,1396,-100.3329214,25.73356419,70
70,28,27705,25348,1396,-100.3337625,25.68268628,70
70,20,27705,25348,1396,-100.3216738,25.68671755,70
70,26,27705,25348,1396,-100.3207005,25.66554117,70
70,17,27705,25348,1396,-100.3742545,25.72253686,70
70,26,27705,25348,1396,-100.3516575,25.68814746,70
70,41,27705,25348,1396,-100.3370476,25.6944919,70
70,26,27705,25348,1396,-100.2982942,25.6744048,70
70,35,1593,25348,1396,-100.2975204,25.66667526,70
70,34,27705,25348,1396,-100.3172066,25.67650068,70
70,36,1593,25348,1396,-100.4110209,25.7656412,70
70,29,27705,25348,1396,-100.37009,25.7710869,70
70,9,27705,25348,1396,-100.3122588,25.66561012,70
70,23,27705,25348,1396,-100.3356931,25.72278499,70
70,23,27705,25348,1396,-100.3816055,25.7391048,70
70,39,27705,25348,1396,-100.3354619,25.67327054,70
70,22,27705,25348,1396,-100.3054829,25.67697609,70
70,10,27705,25348,1396,-100.366346,25.7205511,70
70,26,27705,25348,1396,-100.3777359,25.73501675,70
70,43,27705,25348,1396,-100.2709095,25.61976825,70
70,30,27705,25348,1396,-100.3802659,25.66993298,70
70,25,27705,25348,1396,-100.2615189,25.68305915,70
70,81,27705,25348,1396,-100.3526568,25.67291483,70
70,25,27705,25348,1396,-100.2995855,25.63365994,70
70,38,27705,25348,1396,-100.4070747,25.73963717,70
70,55,27705,25348,1396,-100.3652441,25.6795631,70
70,30,2246,2246,1396,-100.2619437,25.69785676,70
70,28,27705,25348,1396,-100.3071206,25.66827529,70
70,40,27705,25348,1396,-100.3516575,25.68814746,70
70,24,27705,25348,1396,-100.3109417,25.67932122,70
70,55,27705,25348,1396,-100.3130657,25.71068322,70
70,58,27705,25348,1396,-100.3170952,25.67736328,70
70,35,27705,25348,1396,-100.3130657,25.71068322,70
70,32,27705,25348,1396,-100.3516575,25.68814746,70
70,40,27705,25348,1396,-100.3935243,25.75482466,70
70,62,27705,25348,1396,-100.3611128,25.76270583,70
70,48,27705,25348,1396,-100.3350618,25.66498983,70
70,39,27705,25348,1396,-100.2699509,25.60862349,70
70,14,27705,25348,1396,-100.3328177,25.72196143,70
70,58,27705,25348,1396,-100.3578382,25.69431594,70
70,62,1593,25348,1396,-100.2790123,25.66656955,70
70,34,27705,25348,1396,-100.314432,25.660389,70
70,40,27705,25348,1396,-100.2996315,25.6850048,70
70,64,27705,25348,1396,-100.3232406,25.6745412,70
